ID,大分類,中分類,分類名
70,インフラ・土木,橋梁・トンネル,吊り橋
71,インフラ・土木,橋梁・トンネル,歴史的橋梁
72,インフラ・土木,橋梁・トンネル,トンネル
73,インフラ・土木,橋梁・トンネル,水路橋
74,インフラ・土木,塔・展望,タワー
75,インフラ・土木,塔・展望,展望台
76,インフラ・土木,塔・展望,灯台
77,インフラ・土木,運河・水路,運河
78,インフラ・土木,運河・水路,疎水
79,インフラ・土木,運河・水路,閘門
80,インフラ・土木,現代建築,著名建築家によるビル
81,インフラ・土木,現代建築,公共施設
82,商業・食文化,商店街・市場,アーケード街
83,商業・食文化,商店街・市場,朝市
84,商業・食文化,商店街・市場,魚市場
85,商業・食文化,商店街・市場,卸売市場
86,商業・食文化,複合商業施設,アウトレットモール
87,商業・食文化,複合商業施設,ショッピングモール
88,商業・食文化,複合商業施設,デパート
89,商業・食文化,飲食エリア,横丁
90,商業・食文化,飲食エリア,屋台村
91,商業・食文化,飲食エリア,カフェストリート
92,商業・食文化,地域特産拠点,物産館
93,商業・食文化,地域特産拠点,アンテナショップ
94,ポップカルチャー,聖地巡礼,アニメ・マンガ舞台
95,ポップカルチャー,聖地巡礼,小説・文学の舞台
96,ポップカルチャー,ロケ地・撮影地,映画
97,ポップカルチャー,ロケ地・撮影地,ドラマ
98,ポップカルチャー,ロケ地・撮影地,MV撮影地
99,ポップカルチャー,キャラクター・関連施設,コンセプトカフェ
100,ポップカルチャー,キャラクター・関連施設,公式ショップ
101,ポップカルチャー,キャラクター・関連施設,マンガミュージアム
102,ポップカルチャー,イベント会場,コミックマーケット等の開催地
103,ポップカルチャー,イベント会場,ファンイベント会場
104,産業観光,食品・飲料製造,酒蔵
105,産業観光,食品・飲料製造,ワイナリー
106,産業観光,食品・飲料製造,ブルワリー
107,産業観光,食品・飲料製造,食品工場見学
108,産業観光,伝統工芸,陶芸村
109,産業観光,伝統工芸,工房
110,産業観光,伝統工芸,染織場
111,産業観光,伝統工芸,ガラス細工
112,産業観光,近代産業遺産,廃鉱山
113,産業観光,近代産業遺産,製糸場跡
114,産業観光,近代産業遺産,赤レンガ倉庫
115,産業観光,企業ミュージアム,ショールーム
116,産業観光,企業ミュージアム,創業者の記念館
117,スポーツ・競技,観戦施設,スタジアム
118,スポーツ・競技,観戦施設,野球場
119,スポーツ・競技,観戦施設,アリーナ
120,スポーツ・競技,観戦施設,武道館
121,スポーツ・競技,公営競技,競馬場
122,スポーツ・競技,公営競技,競輪場
123,スポーツ・競技,公営競技,ボートレース場
124,スポーツ・競技,公営競技,サーキット
125,スポーツ・競技,ウィンタースポーツ,スキー場
126,スポーツ・競技,ウィンタースポーツ,スノーボードパーク
127,スポーツ・競技,ウィンタースポーツ,スケートリンク
128,スポーツ・競技,アウトドア・アクティビティ,キャンプ場
129,スポーツ・競技,アウトドア・アクティビティ,ゴルフ場
130,スポーツ・競技,アウトドア・アクティビティ,マリーナ
131,スポーツ・競技,アウトドア・アクティビティ,登山道
132,交通・ターミナル,鉄道関連,駅舎
133,交通・ターミナル,鉄道関連,SL発着駅
134,交通・ターミナル,鉄道関連,鉄道博物館
135,交通・ターミナル,鉄道関連,車両基地
136,交通・ターミナル,航空・港湾,空港・展望デッキ
137,交通・ターミナル,航空・港湾,フェリーターミナル
138,交通・ターミナル,航空・港湾,客船乗り場
139,交通・ターミナル,道路施設,サービスエリア・パーキングエリア
140,交通・ターミナル,道路施設,道の駅
141,交通・ターミナル,道路施設,ドライブイン
142,交通・ターミナル,特殊交通,ロープウェイ
143,交通・ターミナル,特殊交通,ケーブルカー
144,交通・ターミナル,特殊交通,遊覧船乗り場
